id,citation,url,verified,kind,market,sample,feature,finding,numbers
L01,Léveillé Gauvin (2018) Musicae Scientiae 22(3),https://journals.sagepub.com/doi/abs/10.1177/1029864917698010,yes (abstract),peer_reviewed,US,303 US top-10 singles 1986-2015; study 2: 60 popular vs 60 less popular 2015 songs same artists,intro length; tempo; time-to-title; title words; self-focus,Trends favour attention grabbing across 1986-2015; within-artist popular-vs-less-popular comparison showed no consistent pattern,see L02
L02,Ohio State Univ. press release on Léveillé Gauvin (2017),https://news.osu.edu/has-music-streaming-killed-the-instrumental-intro/,yes,secondary_summary_of_peer_reviewed,US,303 US top-10 singles 1986-2015,intro length; tempo; time-to-title,intro shrinkage and tempo rise over 30 years; no within-artist streaming evidence,"intro >20 s (mid-1980s) -> ~5 s (2015), '78 percent drop'; tempo +'roughly 8 percent'; time before title -'about 18 percent'"
L03,Klimmt et al. (2024) Convergence,https://journals.sagepub.com/doi/10.1177/13548565231208918,yes (abstract),peer_reviewed,US/Spotify,Billboard top-10 1986-2020 + Spotify top-10 2016-2020,tempo; first-vocal time; time-to-title; title words; duration,accelerated-composition trends 'mostly continued'; only weak evidence of a Spotify-specific booster,none in abstract
L04,Interiano et al. (2018) R. Soc. Open Sci. 5:171274,https://escholarship.org/content/qt96b901t6/qt96b901t6.pdf,yes (full PDF via eScholarship),peer_reviewed,UK,">500,000 UK releases 1985-2015; 148,190 chart entries / 30,081 unique charting songs; 14,536 with AcousticBrainz features","happiness, brightness, sadness, danceability, relaxedness, 'femaleness', timbre","downward trend in happiness/brightness; upward danceability; successful songs happier, more party-like, less relaxed, more 'female' than average release",prediction accuracy ~0.74 (features) / ~0.85 with superstar variable (as summarised)
L05,Askin & Mauskapf (2017) Am. Sociol. Rev. 82(5),https://gwern.net/doc/culture/2017-askin.pdf,yes (full PDF),peer_reviewed,US,"~27,000 Billboard Hot 100 songs 1958-2016; Echo Nest features",genre-weighted typicality (cosine similarity to prior 52 weeks),inverted-U: highly typical songs less likely to reach top; optimal differentiation predicts peak position,typicality mean .81 sd .06 range .26-.92
L06,Digital Music News summarising Quartz (2019-01-18),https://www.digitalmusicnews.com/2019/01/18/streaming-music-shorter-songs-study/,yes (secondary),journalism,US,Billboard Hot 100 (Quartz),duration,hits shortening 2013-2018,avg length down 20 s in 5 years to 3:30; 6% of 2018 hits <=2:30
L07,Chartmetric 'Are Songs Actually Getting Shorter?' (2025),https://hmc.chartmetric.com/shorter-songs-trend-streaming-history/,yes,industry_report,global Spotify charts,Spotify charting songs 2019-2024,duration,continued shortening; genre-dependent,"2024 avg ~3:00, ~15 s shorter than 2023, ~30 s shorter than 2019; 1990s 4:14; 2018->2024 all major genres -17 s+, hip-hop & Latin -29 s; ~20% of 2024 Grammy songs <3:00"
L08,UCLA DataRes / Statista (160K Spotify tracks 1921-2020),https://ucladatares.medium.com/spotify-trends-analysis-129c8a31cf04,yes,blog_dataset,global Spotify catalog (not hits),"~160,000 tracks",duration,"peak length ~1990 then decline; catalog-wide, not success-conditioned","mean 195 s (1930), 259 s (1990), 197 s (2020)"
L09,Hit Songs Deconstructed Trend Report Q3 2014,https://www.hitsongsdeconstructed.com/hsd_wire/the-hit-songs-deconstructed-trend-report/,yes,industry_report,US,20 Billboard top-10 songs Q3 2014 (vs Q2 2014),duration; intro length; first-chorus time,very small n; direction consistent with L02,length 3:52->3:33; 4:00+ share 44%->20%; intro avg 12 s->9 s; intros 1-9 s: 25%->53%; first chorus avg 0:42->0:33; first chorus 0:20-0:39: 15% (Q1)->47% (Q3); first chorus >=1:00: 5%
L10,PA news agency analysis via Irish News (2022-11-14),https://www.irishnews.com/magazine/entertainment/2022/11/14/news/shorter_slower_and_fewer_key_changes_how_number_ones_changed_over_70_years-2904307/,yes,journalism,UK,"1,404 UK number ones 1952-2022",duration; key changes; fade-outs; minor keys,"modern UK #1s: ~3 min, majority minor, no key changes, hard endings","length ~3:00 (1967) -> ~4:00 (1984) -> ~3:00 (2022); key changes 43% (1953), 29% (1986), one in past nine years; fade-outs 93% (1971), 100% (1983), 0 (2011), 23 since; minor key 58% (2019), 55% (2020), 55% (2022)"
L11,"Dalla Riva, 'Are Pop Songs Getting Sadder?' (Can't Get Much Higher)",https://www.cantgetmuchhigher.com/p/are-pop-songs-getting-sadder,yes,blog_dataset,US,"every Billboard Hot 100 #1 since 1958 (>1,100; per NPR)",mode; tempo,minor-key majority and slower tempos among recent US #1s,minor-key share 25% (1958-2000) vs 55% (2000-2010s era as described); #1s <100 BPM: 43% (2010s) vs 25% (1960-1989)
L12,NPR 'Where did all the key changes go?' (2022-11-30),https://www.npr.org/2022/11/30/1139707179/where-did-all-the-key-changes-go,yes,journalism,US,Billboard #1s since 1958 (Dalla Riva),key changes,key-change device nearly absent in modern #1s,~25% of #1s had key changes 1960s-1990s; 2010-2020 only one ('Sicko Mode')
L13,Hooktheory blog 'I analyzed the chords of 1300 popular songs',https://www.hooktheory.com/blog/i-analyzed-the-chords-of-1300-popular-songs-for-patterns-this-is-what-i-found/,yes,blog_dataset,mixed,">1,300 Hooktheory entries",key; chord transitions,key distribution skewed to guitar/piano-friendly keys; strong diatonic transition regularities,C major and A minor most common; Bb only 4%; after Em in C-major songs 93% go to Am or F
L14,"Music By Mattie 'I analyzed 3,054 hit songs'",https://musicbymattie.com/blog/i-analyzed-3-054-hit-songs-to-find-what-1s-do-differently,yes,blog_dataset,US,"3,054 Billboard hits over 35 years; #1 vs non-#1",mode; tempo; lyric density; vocal dynamic range,mode and tempo differences between #1 and other charting songs are small,#1s 65% major/35% minor vs non-#1 63/37; #1s 117 BPM vs 120; #1s ~14% more words
L15,Rolling Stone 'Pop Hits Were Really Slow (Again) in 2018' (Soundfly data),https://www.rollingstone.com/music/music-news/pop-hits-2018-slow-tempo-788045/,yes,journalism,US/Spotify,every Billboard top-5 song 2017 & 2018; Spotify top-25 2012 vs 2017,tempo,late-2010s hits cluster ~78-95 BPM (half-time feel likely; perceived pulse ambiguity not resolved by source),"avg 93.2 BPM (2017), 92.6 BPM (2018); modal range 79-80 (2017), 78-79 (2018); Spotify top-25 avg fell 23 BPM 2012->2017 to 90.5"
L16,Carter & von Appen (2025) Intégral 38,https://theory.esm.rochester.edu/integral/38-2025/carter-von-appen/,yes,peer_reviewed,US,255 + 168 Hot 100 recordings 1966-1995; Melodyne tempo maps,tempo variability (CV),steep decline in tempo variability from 1979; modern hits are grid-tight,median CV 0.76; yearly median CV 1.51 (1972) -> 0.03 (1994)
L17,Colin Munroe 'Chorus Start Time' (Substack),https://colinmunroe.substack.com/p/chorus-start-time,yes (informal),blog_dataset,US,"~2,500 Hot 100 songs 2021-2024; chorus times via LLM (method weak)",first-chorus time,weak evidence that very early chorus is not optimal; low confidence,best-performing group: chorus at 30-60 s; immediate-chorus songs worst; author states shift 'lacks statistical significance'
L18,"Choudhury, Bhagwan & Bali (2013) ISMIR",https://archives.ismir.net/ismir2013/paper/000103.pdf,yes (full PDF),peer_reviewed,India (Hindi film),310 Bollywood hit songs 1953-2013 from yearly top-50 lists; expert scale labelling,melodic scale (thaat),Hindi hits split roughly evenly between minor-type and major scales; Kalyan (Lydian) declined since 1960s; Bhairavi rose,"~25% Asavari (natural minor-type), ~25% Bilawal (major), Bhairavi+Kafi+Khamaj ~25%, pentatonic 8%, Kalyan 4%, none in Bhairav/Marwa/Todi"
L19,'Exploring the Evolutionary Change in Bollywood Lyrics over the Last Two Decades' (Academia.edu),https://www.academia.edu/34373535/,yes,grey_literature,India,300 songs 1995-2005 vs 2006-2015,lyric language mix,Hinglish increase in Bollywood lyrics,'hai' 18.86% of top-word occurrences; 'baby' most frequent English word 11.20%; English usage rose
L20,Scroll.in 'Before size mattered' (2019),https://scroll.in/reel/917102/,yes,journalism,India,anecdotal examples,duration,Hindi film songs shortened; anecdotal,"1970s-80s examples 8+ min; today soundtrack 'barely crosses 25 minutes', songs 'often fade out after the four-minute mark'"
L21,Hamilton & Pearce (2024) Sci. Rep. 14:14749,https://www.nature.com/articles/s41598-024-64571-x,yes,peer_reviewed,US,"366 songs (top-5 year-end 1950-2022), 1,131 MIDI melodies","melodic complexity, note density, interval size, pitch range","revolutions 1975 & 2000 toward lower melodic complexity, higher note density, narrow tessitura",post-2000 ~2.8 notes/s; mean interval ~2.0 semitones; two-thirds of pitches within a 5.5-semitone range
L22,"Hamilton, Clemente, Hall & Pearce (2024) BiMMuDa, TISMIR",https://doaj.org/article/1ff1ffc2366c41748dc7dad8c720e7aa,yes (abstract),peer_reviewed,US,371 melodies top-5/year 1950-2022,chorus vs verse melody,"choruses have fewer notes, lower note density, larger intervals than verses",none in abstract
L23,Morris (2017) 'Are Pop Lyrics Getting More Repetitive?' The Pudding,https://pudding.cool/2017/05/song-repetition/,yes,blog_dataset,US,"15,000 Hot 100 songs 1958-2017; Lempel-Ziv compressibility",lyric repetition,repetition rises over time and is higher among top-10 songs (association),1960 avg 45.7% compressible; 2014 compresses 22% more efficiently; top-10 songs more repetitive than the rest in every year
L24,"Nunes, Ordanini & Valsesia (2015) J. Consumer Psychol. 25(2)",https://www.sciencedirect.com/science/article/abs/pii/S1057740814001260,yes (abstract),peer_reviewed,US,Hot 100 1958-2012; #1s vs never above #90,chorus repetition; word repetition,more chorus repetition -> higher probability of #1 and faster climb; excessive word repetition offsets the benefit,coefficients not in abstract
